simulation_id,network_size,seed_size,periods,simulation_period,state_count_stop,state_count_waiting,state_count_read,state_count_shared
0,10000,100,25,0,100,9900,0,0
0,10000,100,25,1,100,4989,4911,0
0,10000,100,25,2,100,2240,7457,203
0,10000,100,25,3,100,960,8443,497
0,10000,100,25,4,100,372,8679,849
0,10000,100,25,5,100,160,8509,1231
0,10000,100,25,6,100,68,8274,1558
0,10000,100,25,7,100,26,7980,1894
0,10000,100,25,8,100,11,7694,2195
0,10000,100,25,9,100,5,7391,2504
0,10000,100,25,10,100,2,7105,2793
0,10000,100,25,11,100,0,6833,3067
0,10000,100,25,12,100,0,6585,3315
0,10000,100,25,13,100,0,6337,3563
0,10000,100,25,14,100,0,6124,3776
0,10000,100,25,15,100,0,5912,3988
0,10000,100,25,16,100,0,5669,4231
0,10000,100,25,17,100,0,5456,4444
0,10000,100,25,18,100,0,5258,4642
0,10000,100,25,19,100,0,5072,4828
0,10000,100,25,20,100,0,4886,5014
0,10000,100,25,21,100,0,4724,5176
0,10000,100,25,22,100,0,4548,5352
0,10000,100,25,23,100,0,4372,5528
0,10000,100,25,24,100,0,4239,5661
0,10000,100,25,25,100,0,4087,5813
0,10000,100,25,25,100,0,4087,5813
1,10000,100,25,0,100,9900,0,0
1,10000,100,25,1,100,4968,4932,0
1,10000,100,25,2,100,2223,7470,207
1,10000,100,25,3,100,949,8402,549
1,10000,100,25,4,100,401,8612,887
1,10000,100,25,5,100,186,8454,1260
1,10000,100,25,6,100,59,8279,1562
1,10000,100,25,7,100,28,7987,1885
1,10000,100,25,8,100,8,7684,2208
1,10000,100,25,9,100,2,7423,2475
1,10000,100,25,10,100,0,7154,2746
1,10000,100,25,11,100,0,6878,3022
1,10000,100,25,12,100,0,6622,3278
1,10000,100,25,13,100,0,6402,3498
1,10000,100,25,14,100,0,6174,3726
1,10000,100,25,15,100,0,5954,3946
1,10000,100,25,16,100,0,5749,4151
1,10000,100,25,17,100,0,5582,4318
1,10000,100,25,18,100,0,5379,4521
1,10000,100,25,19,100,0,5192,4708
1,10000,100,25,20,100,0,4994,4906
1,10000,100,25,21,100,0,4815,5085
1,10000,100,25,22,100,0,4648,5252
1,10000,100,25,23,100,0,4500,5400
1,10000,100,25,24,100,0,4339,5561
1,10000,100,25,25,100,0,4174,5726
1,10000,100,25,25,100,0,4174,5726
2,10000,100,25,0,100,9900,0,0
2,10000,100,25,1,100,4942,4958,0
2,10000,100,25,2,100,2274,7416,210
2,10000,100,25,3,100,956,8426,518
2,10000,100,25,4,100,402,8613,885
2,10000,100,25,5,100,178,8496,1226
2,10000,100,25,6,100,76,8249,1575
2,10000,100,25,7,100,38,7928,1934
2,10000,100,25,8,100,17,7611,2272
2,10000,100,25,9,100,7,7313,2580
2,10000,100,25,10,100,4,7072,2824
2,10000,100,25,11,100,2,6825,3073
2,10000,100,25,12,100,1,6597,3302
2,10000,100,25,13,100,1,6352,3547
2,10000,100,25,14,100,0,6113,3787
2,10000,100,25,15,100,0,5868,4032
2,10000,100,25,16,100,0,5640,4260
2,10000,100,25,17,100,0,5410,4490
2,10000,100,25,18,100,0,5203,4697
2,10000,100,25,19,100,0,5053,4847
2,10000,100,25,20,100,0,4859,5041
2,10000,100,25,21,100,0,4692,5208
2,10000,100,25,22,100,0,4519,5381
2,10000,100,25,23,100,0,4363,5537
2,10000,100,25,24,100,0,4194,5706
2,10000,100,25,25,100,0,4056,5844
2,10000,100,25,25,100,0,4056,5844
3,10000,100,25,0,100,9900,0,0
3,10000,100,25,1,100,4953,4947,0
3,10000,100,25,2,100,2264,7455,181
3,10000,100,25,3,100,998,8442,460
3,10000,100,25,4,100,405,8708,787
3,10000,100,25,5,100,156,8586,1158
3,10000,100,25,6,100,71,8341,1488
3,10000,100,25,7,100,32,8059,1809
3,10000,100,25,8,100,10,7744,2146
3,10000,100,25,9,100,3,7457,2440
3,10000,100,25,10,100,1,7160,2739
3,10000,100,25,11,100,1,6882,3017
3,10000,100,25,12,100,0,6613,3287
3,10000,100,25,13,100,0,6406,3494
3,10000,100,25,14,100,0,6136,3764
3,10000,100,25,15,100,0,5901,3999
3,10000,100,25,16,100,0,5690,4210
