simulation_id,network_size,seed_size,periods,simulation_period,state_noread,state_count_read,state_count_prepared,state_count_shared
0,3000,150,25,0,3000,0,0,0
0,3000,150,25,1,2968,25,7,0
0,3000,150,25,2,2908,74,11,7
0,3000,150,25,3,2908,74,0,18
0,3000,150,25,4,2908,74,0,18
0,3000,150,25,5,2908,74,0,18
0,3000,150,25,6,2908,74,0,18
0,3000,150,25,7,2908,74,0,18
0,3000,150,25,8,2908,74,0,18
0,3000,150,25,9,2908,74,0,18
0,3000,150,25,10,2908,74,0,18
0,3000,150,25,11,2908,74,0,18
0,3000,150,25,12,2908,74,0,18
0,3000,150,25,13,2908,74,0,18
0,3000,150,25,14,2908,74,0,18
0,3000,150,25,15,2908,74,0,18
0,3000,150,25,16,2908,74,0,18
0,3000,150,25,17,2908,74,0,18
0,3000,150,25,18,2908,74,0,18
0,3000,150,25,19,2908,74,0,18
0,3000,150,25,20,2908,74,0,18
0,3000,150,25,21,2908,74,0,18
0,3000,150,25,22,2908,74,0,18
0,3000,150,25,23,2908,74,0,18
0,3000,150,25,24,2908,74,0,18
1,3000,150,25,0,3000,0,0,0
1,3000,150,25,1,2966,27,7,0
1,3000,150,25,2,2902,74,16,8
1,3000,150,25,3,2898,77,0,25
1,3000,150,25,4,2898,77,0,25
1,3000,150,25,5,2898,77,0,25
1,3000,150,25,6,2898,77,0,25
1,3000,150,25,7,2898,77,0,25
1,3000,150,25,8,2898,77,0,25
1,3000,150,25,9,2898,77,0,25
1,3000,150,25,10,2898,77,0,25
1,3000,150,25,11,2898,77,0,25
1,3000,150,25,12,2898,77,0,25
1,3000,150,25,13,2898,77,0,25
1,3000,150,25,14,2898,77,0,25
1,3000,150,25,15,2898,77,0,25
1,3000,150,25,16,2898,77,0,25
1,3000,150,25,17,2898,77,0,25
1,3000,150,25,18,2898,77,0,25
1,3000,150,25,19,2898,77,0,25
1,3000,150,25,20,2898,77,0,25
1,3000,150,25,21,2898,77,0,25
1,3000,150,25,22,2898,77,0,25
1,3000,150,25,23,2898,77,0,25
1,3000,150,25,24,2898,77,0,25
2,3000,150,25,0,3000,0,0,0
2,3000,150,25,1,2968,24,8,0
2,3000,150,25,2,2903,80,9,8
2,3000,150,25,3,2900,83,0,17
2,3000,150,25,4,2900,83,0,17
2,3000,150,25,5,2900,83,0,17
2,3000,150,25,6,2900,83,0,17
2,3000,150,25,7,2900,83,0,17
2,3000,150,25,8,2900,83,0,17
2,3000,150,25,9,2900,83,0,17
2,3000,150,25,10,2900,83,0,17
2,3000,150,25,11,2900,83,0,17
2,3000,150,25,12,2900,83,0,17
2,3000,150,25,13,2900,83,0,17
