simulation_id,network_size,seed_size,periods,simulation_period,state_noread,state_count_read,state_count_prepared,state_count_shared
0,3000,150,25,0,3000,0,0,0
0,3000,150,25,1,2974,19,7,0
0,3000,150,25,2,2913,69,10,8
0,3000,150,25,3,2910,72,0,18
0,3000,150,25,4,2910,72,0,18
0,3000,150,25,5,2910,72,0,18
0,3000,150,25,6,2910,72,0,18
0,3000,150,25,7,2910,72,0,18
0,3000,150,25,8,2910,72,0,18
0,3000,150,25,9,2910,72,0,18
0,3000,150,25,10,2910,72,0,18
0,3000,150,25,11,2910,72,0,18
0,3000,150,25,12,2910,72,0,18
0,3000,150,25,13,2910,72,0,18
0,3000,150,25,14,2910,72,0,18
0,3000,150,25,15,2910,72,0,18
0,3000,150,25,16,2910,72,0,18
0,3000,150,25,17,2910,72,0,18
0,3000,150,25,18,2910,72,0,18
0,3000,150,25,19,2910,72,0,18
0,3000,150,25,20,2910,72,0,18
0,3000,150,25,21,2910,72,0,18
0,3000,150,25,22,2910,72,0,18
0,3000,150,25,23,2910,72,0,18
0,3000,150,25,24,2910,72,0,18
1,3000,150,25,0,3000,0,0,0
1,3000,150,25,1,2972,24,4,0
1,3000,150,25,2,2946,47,3,4
1,3000,150,25,3,2945,48,0,7
1,3000,150,25,4,2945,48,0,7
1,3000,150,25,5,2945,48,0,7
1,3000,150,25,6,2945,48,0,7
1,3000,150,25,7,2945,48,0,7
1,3000,150,25,8,2945,48,0,7
1,3000,150,25,9,2945,48,0,7
1,3000,150,25,10,2945,48,0,7
1,3000,150,25,11,2945,48,0,7
1,3000,150,25,12,2945,48,0,7
1,3000,150,25,13,2945,48,0,7
1,3000,150,25,14,2945,48,0,7
1,3000,150,25,15,2945,48,0,7
1,3000,150,25,16,2945,48,0,7
1,3000,150,25,17,2945,48,0,7
1,3000,150,25,18,2945,48,0,7
1,3000,150,25,19,2945,48,0,7
1,3000,150,25,20,2945,48,0,7
1,3000,150,25,21,2945,48,0,7
1,3000,150,25,22,2945,48,0,7
1,3000,150,25,23,2945,48,0,7
1,3000,150,25,24,2945,48,0,7
2,3000,150,25,0,3000,0,0,0
2,3000,150,25,1,2975,18,7,0
2,3000,150,25,2,2930,52,11,7
2,3000,150,25,3,2930,52,0,18
2,3000,150,25,4,2930,52,0,18
2,3000,150,25,5,2930,52,0,18
2,3000,150,25,6,2930,52,0,18
2,3000,150,25,7,2930,52,0,18
2,3000,150,25,8,2930,52,0,18
2,3000,150,25,9,2930,52,0,18
2,3000,150,25,10,2930,52,0,18
2,3000,150,25,11,2930,52,0,18
2,3000,150,25,12,2930,52,0,18
2,3000,150,25,13,2930,52,0,18
2,3000,150,25,14,2930,52,0,18
2,3000,150,25,15,2930,52,0,18
2,3000,150,25,16,2930,52,0,18
2,3000,150,25,17,2930,52,0,18
2,3000,150,25,18,2930,52,0,18
2,3000,150,25,19,2930,52,0,18
2,3000,150,25,20,2930,52,0,18
2,3000,150,25,21,2930,52,0,18
2,3000,150,25,22,2930,52,0,18
2,3000,150,25,23,2930,52,0,18
2,3000,150,25,24,2930,52,0,18
3,3000,150,25,0,3000,0,0,0
3,3000,150,25,1,2962,32,6,0
3,3000,150,25,2,2916,71,7,6
3,3000,150,25,3,2915,72,0,13
3,3000,150,25,4,2915,72,0,13
3,3000,150,25,5,2915,72,0,13
3,3000,150,25,6,2915,72,0,13
3,3000,150,25,7,2915,72,0,13
3,3000,150,25,8,2915,72,0,13
3,3000,150,25,9,2915,72,0,13
3,3000,150,25,10,2915,72,0,13
3,3000,150,25,11,2915,72,0,13
3,3000,150,25,12,2915,72,0,13
3,3000,150,25,13,2915,72,0,13
3,3000,150,25,14,2915,72,0,13
3,3000,150,25,15,2915,72,0,13
3,3000,150,25,16,2915,72,0,13
3,3000,150,25,17,2915,72,0,13
3,3000,150,25,18,2915,72,0,13
3,3000,150,25,19,2915,72,0,13
3,3000,150,25,20,2915,72,0,13
3,3000,150,25,21,2915,72,0,13
3,3000,150,25,22,2915,72,0,13
3,3000,150,25,23,2915,72,0,13
3,3000,150,25,24,2915,72,0,13
4,3000,150,25,0,3000,0,0,0
4,3000,150,25,1,2964,25,11,0
4,3000,150,25,2,2895,80,14,11
4,3000,150,25,3,2887,86,2,25
4,3000,150,25,4,2886,86,1,27
4,3000,150,25,5,2885,87,0,28
4,3000,150,25,6,2885,87,0,28
4,3000,150,25,7,2885,87,0,28
4,3000,150,25,8,2885,87,0,28
4,3000,150,25,9,2885,87,0,28
4,3000,150,25,10,2885,87,0,28
4,3000,150,25,11,2885,87,0,28
4,3000,150,25,12,2885,87,0,28
4,3000,150,25,13,2885,87,0,28
4,3000,150,25,14,2885,87,0,28
4,3000,150,25,15,2885,87,0,28
4,3000,150,25,16,2885,87,0,28
4,3000,150,25,17,2885,87,0,28
4,3000,150,25,18,2885,87,0,28
4,3000,150,25,19,2885,87,0,28
4,3000,150,25,20,2885,87,0,28
4,3000,150,25,21,2885,87,0,28
4,3000,150,25,22,2885,87,0,28
4,3000,150,25,23,2885,87,0,28
4,3000,150,25,24,2885,87,0,28
5,3000,150,25,0,3000,0,0,0
5,3000,150,25,1,2961,33,6,0
5,3000,150,25,2,2920,65,9,6
5,3000,150,25,3,2915,69,1,15
5,3000,150,25,4,2914,70,0,16
5,3000,150,25,5,2914,70,0,16
5,3000,150,25,6,2914,70,0,16
5,3000,150,25,7,2914,70,0,16
5,3000,150,25,8,2914,70,0,16
5,3000,150,25,9,2914,70,0,16
5,3000,150,25,10,2914,70,0,16
5,3000,150,25,11,2914,70,0,16
5,3000,150,25,12,2914,70,0,16
5,3000,150,25,13,2914,70,0,16
5,3000,150,25,14,2914,70,0,16
5,3000,150,25,15,2914,70,0,16
5,3000,150,25,16,2914,70,0,16
5,3000,150,25,17,2914,70,0,16
5,3000,150,25,18,2914,70,0,16
5,3000,150,25,19,2914,70,0,16
5,3000,150,25,20,2914,70,0,16
5,3000,150,25,21,2914,70,0,16
5,3000,150,25,22,2914,70,0,16
5,3000,150,25,23,2914,70,0,16
5,3000,150,25,24,2914,70,0,16
6,3000,150,25,0,3000,0,0,0
6,3000,150,25,1,2969,23,8,0
6,3000,150,25,2,2911,70,10,9
6,3000,150,25,3,2911,70,0,19
6,3000,150,25,4,2911,70,0,19
6,3000,150,25,5,2911,70,0,19
6,3000,150,25,6,2911,70,0,19
6,3000,150,25,7,2911,70,0,19
6,3000,150,25,8,2911,70,0,19
6,3000,150,25,9,2911,70,0,19
6,3000,150,25,10,2911,70,0,19
6,3000,150,25,11,2911,70,0,19
6,3000,150,25,12,2911,70,0,19
6,3000,150,25,13,2911,70,0,19
6,3000,150,25,14,2911,70,0,19
6,3000,150,25,15,2911,70,0,19
6,3000,150,25,16,2911,70,0,19
6,3000,150,25,17,2911,70,0,19
6,3000,150,25,18,2911,70,0,19
6,3000,150,25,19,2911,70,0,19
6,3000,150,25,20,2911,70,0,19
6,3000,150,25,21,2911,70,0,19
6,3000,150,25,22,2911,70,0,19
6,3000,150,25,23,2911,70,0,19
6,3000,150,25,24,2911,70,0,19
7,3000,150,25,0,3000,0,0,0
7,3000,150,25,1,2968,24,8,0
7,3000,150,25,2,2881,94,16,9
7,3000,150,25,3,2879,95,1,25
7,3000,150,25,4,2879,95,0,26
7,3000,150,25,5,2879,95,0,26
7,3000,150,25,6,2879,95,0,26
