simulation_id,network_size,seed_size,periods,max_resends,saturation_threshold,simulation_period,state_noread,state_count_read,state_count_prepared,state_count_shared,saturated_agents,time_resend
0,3000,150,25,5,5,0,3000,0,0,0,0,0
0,3000,150,25,5,5,1,2969,25,6,0,0,0
0,3000,150,25,5,5,2,2961,31,8,0,0,1
0,3000,150,25,5,5,3,2899,83,0,18,0,1
0,3000,150,25,5,5,4,2899,83,0,18,0,1
0,3000,150,25,5,5,5,2899,83,0,18,0,1
0,3000,150,25,5,5,6,2899,83,0,18,0,1
0,3000,150,25,5,5,7,2899,83,0,18,0,1
0,3000,150,25,5,5,8,2971,19,10,0,0,2
0,3000,150,25,5,5,9,2968,22,10,0,0,3
0,3000,150,25,5,5,10,2881,88,0,31,0,3
0,3000,150,25,5,5,11,2881,88,0,31,0,3
0,3000,150,25,5,5,12,2881,88,0,31,0,3
0,3000,150,25,5,5,13,2972,23,5,0,0,4
0,3000,150,25,5,5,14,2926,57,0,17,0,4
0,3000,150,25,5,5,15,2926,57,0,17,0,4
0,3000,150,25,5,5,16,2926,57,0,17,0,4
0,3000,150,25,5,5,17,2926,57,0,17,0,4
0,3000,150,25,5,5,18,2926,57,0,17,0,4
0,3000,150,25,5,5,19,2972,23,5,0,1,5
0,3000,150,25,5,5,20,2922,59,1,18,2,5
0,3000,150,25,5,5,21,2921,60,0,19,2,5
0,3000,150,25,5,5,22,2921,60,0,19,2,5
0,3000,150,25,5,5,23,2921,60,0,19,2,5
0,3000,150,25,5,5,24,2921,60,0,19,2,5
1,3000,150,25,5,5,0,3000,0,0,0,0,0
1,3000,150,25,5,5,1,2973,20,7,0,0,0
1,3000,150,25,5,5,2,2977,18,5,0,0,1
1,3000,150,25,5,5,3,2936,51,1,12,0,1
1,3000,150,25,5,5,4,2967,27,6,0,0,2
1,3000,150,25,5,5,5,2970,27,3,0,0,3
1,3000,150,25,5,5,6,2946,44,0,10,0,3
1,3000,150,25,5,5,7,2946,44,0,10,0,3
1,3000,150,25,5,5,8,2972,25,3,0,0,4
1,3000,150,25,5,5,9,2974,21,5,0,0,5
1,3000,150,25,5,5,10,2932,56,1,11,0,5
1,3000,150,25,5,5,11,2919,67,0,14,0,5
1,3000,150,25,5,5,12,2919,67,0,14,0,5
1,3000,150,25,5,5,13,2919,67,0,14,0,5
1,3000,150,25,5,5,14,2919,67,0,14,0,5
1,3000,150,25,5,5,15,2919,67,0,14,0,5
1,3000,150,25,5,5,16,2919,67,0,14,0,5
1,3000,150,25,5,5,17,2919,67,0,14,0,5
1,3000,150,25,5,5,18,2919,67,0,14,0,5
1,3000,150,25,5,5,19,2919,67,0,14,0,5
1,3000,150,25,5,5,20,2919,67,0,14,0,5
1,3000,150,25,5,5,21,2919,67,0,14,0,5
1,3000,150,25,5,5,22,2919,67,0,14,0,5
1,3000,150,25,5,5,23,2919,67,0,14,0,5
1,3000,150,25,5,5,24,2919,67,0,14,0,5
2,3000,150,25,5,5,0,3000,0,0,0,0,0
2,3000,150,25,5,5,1,2967,27,6,0,0,0
2,3000,150,25,5,5,2,2916,63,2,19,0,0
2,3000,150,25,5,5,3,2907,70,0,23,0,0
2,3000,150,25,5,5,4,2961,27,12,0,0,1
2,3000,150,25,5,5,5,2855,109,0,36,0,1
2,3000,150,25,5,5,6,2970,25,5,0,0,2
2,3000,150,25,5,5,7,2931,57,0,12,0,2
2,3000,150,25,5,5,8,2973,21,6,0,0,3
2,3000,150,25,5,5,9,2962,33,5,0,1,4
2,3000,150,25,5,5,10,2974,17,9,0,1,5
2,3000,150,25,5,5,11,2898,81,1,20,1,5
2,3000,150,25,5,5,12,2898,81,0,21,1,5
2,3000,150,25,5,5,13,2898,81,0,21,1,5
2,3000,150,25,5,5,14,2898,81,0,21,1,5
