simulation_id,network_size,seed_size,periods,simulation_period,state_noread,state_count_read,state_count_prepared,state_count_shared
0,10000,500,25,0,10000,0,0,0
0,10000,500,25,1,9906,78,16,0
0,10000,500,25,2,9290,560,20,130
0,10000,500,25,3,9026,771,8,195
0,10000,500,25,4,8964,823,1,212
0,10000,500,25,5,8963,824,0,213
0,10000,500,25,6,8963,824,0,213
0,10000,500,25,7,8963,824,0,213
0,10000,500,25,8,8963,824,0,213
0,10000,500,25,9,8963,824,0,213
0,10000,500,25,10,8963,824,0,213
0,10000,500,25,11,8963,824,0,213
0,10000,500,25,12,8963,824,0,213
0,10000,500,25,13,8963,824,0,213
0,10000,500,25,14,8963,824,0,213
0,10000,500,25,15,8963,824,0,213
0,10000,500,25,16,8963,824,0,213
0,10000,500,25,17,8963,824,0,213
0,10000,500,25,18,8963,824,0,213
0,10000,500,25,19,8963,824,0,213
0,10000,500,25,20,8963,824,0,213
0,10000,500,25,21,8963,824,0,213
0,10000,500,25,22,8963,824,0,213
0,10000,500,25,23,8963,824,0,213
0,10000,500,25,24,8963,824,0,213
0,10000,500,25,25,8963,824,0,213
0,10000,500,25,25,8963,824,0,213
1,10000,500,25,0,10000,0,0,0
1,10000,500,25,1,9897,85,18,0
1,10000,500,25,2,9210,633,24,133
1,10000,500,25,3,8888,896,3,213
1,10000,500,25,4,8887,897,0,216
1,10000,500,25,5,8887,897,0,216
1,10000,500,25,6,8887,897,0,216
1,10000,500,25,7,8887,897,0,216
1,10000,500,25,8,8887,897,0,216
1,10000,500,25,9,8887,897,0,216
1,10000,500,25,10,8887,897,0,216
1,10000,500,25,11,8887,897,0,216
1,10000,500,25,12,8887,897,0,216
1,10000,500,25,13,8887,897,0,216
1,10000,500,25,14,8887,897,0,216
1,10000,500,25,15,8887,897,0,216
1,10000,500,25,16,8887,897,0,216
1,10000,500,25,17,8887,897,0,216
1,10000,500,25,18,8887,897,0,216
1,10000,500,25,19,8887,897,0,216
1,10000,500,25,20,8887,897,0,216
1,10000,500,25,21,8887,897,0,216
1,10000,500,25,22,8887,897,0,216
1,10000,500,25,23,8887,897,0,216
1,10000,500,25,24,8887,897,0,216
1,10000,500,25,25,8887,897,0,216
1,10000,500,25,25,8887,897,0,216
2,10000,500,25,0,10000,0,0,0
2,10000,500,25,1,9909,69,22,0
2,10000,500,25,2,9047,757,18,178
2,10000,500,25,3,8826,934,10,230
2,10000,500,25,4,8769,984,1,246
2,10000,500,25,5,8769,984,0,247
2,10000,500,25,6,8769,984,0,247
2,10000,500,25,7,8769,984,0,247
2,10000,500,25,8,8769,984,0,247
2,10000,500,25,9,8769,984,0,247
2,10000,500,25,10,8769,984,0,247
2,10000,500,25,11,8769,984,0,247
2,10000,500,25,12,8769,984,0,247
2,10000,500,25,13,8769,984,0,247
2,10000,500,25,14,8769,984,0,247
2,10000,500,25,15,8769,984,0,247
2,10000,500,25,16,8769,984,0,247
2,10000,500,25,17,8769,984,0,247
2,10000,500,25,18,8769,984,0,247
2,10000,500,25,19,8769,984,0,247
2,10000,500,25,20,8769,984,0,247
2,10000,500,25,21,8769,984,0,247
2,10000,500,25,22,8769,984,0,247
2,10000,500,25,23,8769,984,0,247
2,10000,500,25,24,8769,984,0,247
2,10000,500,25,25,8769,984,0,247
2,10000,500,25,25,8769,984,0,247
3,10000,500,25,0,10000,0,0,0
3,10000,500,25,1,9910,72,18,0
3,10000,500,25,2,9218,633,10,139
3,10000,500,25,3,9149,691,1,159
3,10000,500,25,4,9148,692,0,160
3,10000,500,25,5,9148,692,0,160
3,10000,500,25,6,9148,692,0,160
3,10000,500,25,7,9148,692,0,160
3,10000,500,25,8,9148,692,0,160
3,10000,500,25,9,9148,692,0,160
3,10000,500,25,10,9148,692,0,160
3,10000,500,25,11,9148,692,0,160
3,10000,500,25,12,9148,692,0,160
3,10000,500,25,13,9148,692,0,160
3,10000,500,25,14,9148,692,0,160
3,10000,500,25,15,9148,692,0,160
3,10000,500,25,16,9148,692,0,160
3,10000,500,25,17,9148,692,0,160
3,10000,500,25,18,9148,692,0,160
3,10000,500,25,19,9148,692,0,160
3,10000,500,25,20,9148,692,0,160
3,10000,500,25,21,9148,692,0,160
3,10000,500,25,22,9148,692,0,160
3,10000,500,25,23,9148,692,0,160
3,10000,500,25,24,9148,692,0,160
3,10000,500,25,25,9148,692,0,160
3,10000,500,25,25,9148,692,0,160
4,10000,500,25,0,10000,0,0,0
4,10000,500,25,1,9905,74,21,0
4,10000,500,25,2,9137,690,15,158
4,10000,500,25,3,8943,849,2,206
4,10000,500,25,4,8941,851,0,208
4,10000,500,25,5,8941,851,0,208
4,10000,500,25,6,8941,851,0,208
4,10000,500,25,7,8941,851,0,208
4,10000,500,25,8,8941,851,0,208
4,10000,500,25,9,8941,851,0,208
4,10000,500,25,10,8941,851,0,208
4,10000,500,25,11,8941,851,0,208
4,10000,500,25,12,8941,851,0,208
4,10000,500,25,13,8941,851,0,208
4,10000,500,25,14,8941,851,0,208
4,10000,500,25,15,8941,851,0,208
4,10000,500,25,16,8941,851,0,208
4,10000,500,25,17,8941,851,0,208
4,10000,500,25,18,8941,851,0,208
4,10000,500,25,19,8941,851,0,208
4,10000,500,25,20,8941,851,0,208
4,10000,500,25,21,8941,851,0,208
4,10000,500,25,22,8941,851,0,208
4,10000,500,25,23,8941,851,0,208
4,10000,500,25,24,8941,851,0,208
4,10000,500,25,25,8941,851,0,208
4,10000,500,25,25,8941,851,0,208
5,10000,500,25,0,10000,0,0,0
5,10000,500,25,1,9885,88,27,0
5,10000,500,25,2,9018,774,20,188
5,10000,500,25,3,8879,887,3,231
5,10000,500,25,4,8839,918,1,242
5,10000,500,25,5,8839,918,0,243
5,10000,500,25,6,8839,918,0,243
5,10000,500,25,7,8839,918,0,243
5,10000,500,25,8,8839,918,0,243
5,10000,500,25,9,8839,918,0,243
5,10000,500,25,10,8839,918,0,243
5,10000,500,25,11,8839,918,0,243
5,10000,500,25,12,8839,918,0,243
5,10000,500,25,13,8839,918,0,243
5,10000,500,25,14,8839,918,0,243
5,10000,500,25,15,8839,918,0,243
5,10000,500,25,16,8839,918,0,243
5,10000,500,25,17,8839,918,0,243
5,10000,500,25,18,8839,918,0,243
5,10000,500,25,19,8839,918,0,243
5,10000,500,25,20,8839,918,0,243
5,10000,500,25,21,8839,918,0,243
5,10000,500,25,22,8839,918,0,243
5,10000,500,25,23,8839,918,0,243
5,10000,500,25,24,8839,918,0,243
5,10000,500,25,25,8839,918,0,243
5,10000,500,25,25,8839,918,0,243
6,10000,500,25,0,10000,0,0,0
6,10000,500,25,1,9890,85,25,0
6,10000,500,25,2,9114,732,14,140
6,10000,500,25,3,9067,769,5,159
6,10000,500,25,4,9030,797,1,172
6,10000,500,25,5,9026,798,2,174
6,10000,500,25,6,9025,799,0,176
6,10000,500,25,7,9025,799,0,176
6,10000,500,25,8,9025,799,0,176
6,10000,500,25,9,9025,799,0,176
6,10000,500,25,10,9025,799,0,176
6,10000,500,25,11,9025,799,0,176
6,10000,500,25,12,9025,799,0,176
6,10000,500,25,13,9025,799,0,176
6,10000,500,25,14,9025,799,0,176
6,10000,500,25,15,9025,799,0,176
6,10000,500,25,16,9025,799,0,176
6,10000,500,25,17,9025,799,0,176
6,10000,500,25,18,9025,799,0,176
6,10000,500,25,19,9025,799,0,176
6,10000,500,25,20,9025,799,0,176
6,10000,500,25,21,9025,799,0,176
6,10000,500,25,22,9025,799,0,176
6,10000,500,25,23,9025,799,0,176
6,10000,500,25,24,9025,799,0,176
6,10000,500,25,25,9025,799,0,176
6,10000,500,25,25,9025,799,0,176
7,10000,500,25,0,10000,0,0,0
7,10000,500,25,1,9892,90,18,0
7,10000,500,25,2,9280,586,13,121
7,10000,500,25,3,9133,699,4,164
7,10000,500,25,4,9107,725,0,168
7,10000,500,25,5,9107,725,0,168
7,10000,500,25,6,9107,725,0,168
7,10000,500,25,7,9107,725,0,168
7,10000,500,25,8,9107,725,0,168
7,10000,500,25,9,9107,725,0,168
7,10000,500,25,10,9107,725,0,168
7,10000,500,25,11,9107,725,0,168
7,10000,500,25,12,9107,725,0,168
7,10000,500,25,13,9107,725,0,168
7,10000,500,25,14,9107,725,0,168
7,10000,500,25,15,9107,725,0,168
7,10000,500,25,16,9107,725,0,168
7,10000,500,25,17,9107,725,0,168
7,10000,500,25,18,9107,725,0,168
7,10000,500,25,19,9107,725,0,168
7,10000,500,25,20,9107,725,0,168
7,10000,500,25,21,9107,725,0,168
7,10000,500,25,22,9107,725,0,168
7,10000,500,25,23,9107,725,0,168
7,10000,500,25,24,9107,725,0,168
7,10000,500,25,25,9107,725,0,168
7,10000,500,25,25,9107,725,0,168
8,10000,500,25,0,10000,0,0,0
8,10000,500,25,1,9915,66,19,0
8,10000,500,25,2,9276,592,15,117
8,10000,500,25,3,9033,781,6,180
8,10000,500,25,4,8971,835,0,194
8,10000,500,25,5,8971,835,0,194
8,10000,500,25,6,8971,835,0,194
8,10000,500,25,7,8971,835,0,194
8,10000,500,25,8,8971,835,0,194
8,10000,500,25,9,8971,835,0,194
8,10000,500,25,10,8971,835,0,194
8,10000,500,25,11,8971,835,0,194
8,10000,500,25,12,8971,835,0,194
8,10000,500,25,13,8971,835,0,194
8,10000,500,25,14,8971,835,0,194
8,10000,500,25,15,8971,835,0,194
8,10000,500,25,16,8971,835,0,194
8,10000,500,25,17,8971,835,0,194
8,10000,500,25,18,8971,835,0,194
8,10000,500,25,19,8971,835,0,194
8,10000,500,25,20,8971,835,0,194
8,10000,500,25,21,8971,835,0,194
8,10000,500,25,22,8971,835,0,194
8,10000,500,25,23,8971,835,0,194
8,10000,500,25,24,8971,835,0,194
8,10000,500,25,25,8971,835,0,194
8,10000,500,25,25,8971,835,0,194
9,10000,500,25,0,10000,0,0,0
9,10000,500,25,1,9894,80,26,0
9,10000,500,25,2,8937,821,39,203
9,10000,500,25,3,8710,1008,7,275
9,10000,500,25,4,8678,1034,0,288
9,10000,500,25,5,8678,1034,0,288
9,10000,500,25,6,8678,1034,0,288
9,10000,500,25,7,8678,1034,0,288
9,10000,500,25,8,8678,1034,0,288
9,10000,500,25,9,8678,1034,0,288
9,10000,500,25,10,8678,1034,0,288
9,10000,500,25,11,8678,1034,0,288
9,10000,500,25,12,8678,1034,0,288
9,10000,500,25,13,8678,1034,0,288
9,10000,500,25,14,8678,1034,0,288
9,10000,500,25,15,8678,1034,0,288
9,10000,500,25,16,8678,1034,0,288
9,10000,500,25,17,8678,1034,0,288
9,10000,500,25,18,8678,1034,0,288
9,10000,500,25,19,8678,1034,0,288
9,10000,500,25,20,8678,1034,0,288
9,10000,500,25,21,8678,1034,0,288
