simulation_id,network_size,seed_size,periods,simulation_period,state_noread,state_count_read,state_count_prepared,state_count_shared
0,10000,500,25,0,10000,0,0,0
0,10000,500,25,1,9893,92,15,0
0,10000,500,25,2,9368,511,7,114
0,10000,500,25,3,9327,543,0,130
0,10000,500,25,4,9327,543,0,130
0,10000,500,25,5,9327,543,0,130
0,10000,500,25,6,9327,543,0,130
0,10000,500,25,7,9327,543,0,130
0,10000,500,25,8,9327,543,0,130
0,10000,500,25,9,9327,543,0,130
0,10000,500,25,10,9327,543,0,130
0,10000,500,25,11,9327,543,0,130
0,10000,500,25,12,9327,543,0,130
0,10000,500,25,13,9327,543,0,130
0,10000,500,25,14,9327,543,0,130
0,10000,500,25,15,9327,543,0,130
0,10000,500,25,16,9327,543,0,130
0,10000,500,25,17,9327,543,0,130
0,10000,500,25,18,9327,543,0,130
0,10000,500,25,19,9327,543,0,130
0,10000,500,25,20,9327,543,0,130
0,10000,500,25,21,9327,543,0,130
0,10000,500,25,22,9327,543,0,130
0,10000,500,25,23,9327,543,0,130
0,10000,500,25,24,9327,543,0,130
0,10000,500,25,25,9327,543,0,130
0,10000,500,25,25,9327,543,0,130
1,10000,500,25,0,10000,0,0,0
1,10000,500,25,1,9879,99,22,0
1,10000,500,25,2,9049,739,21,191
1,10000,500,25,3,8923,842,3,232
1,10000,500,25,4,8919,846,0,235
1,10000,500,25,5,8919,846,0,235
1,10000,500,25,6,8919,846,0,235
1,10000,500,25,7,8919,846,0,235
1,10000,500,25,8,8919,846,0,235
1,10000,500,25,9,8919,846,0,235
1,10000,500,25,10,8919,846,0,235
1,10000,500,25,11,8919,846,0,235
1,10000,500,25,12,8919,846,0,235
1,10000,500,25,13,8919,846,0,235
1,10000,500,25,14,8919,846,0,235
1,10000,500,25,15,8919,846,0,235
1,10000,500,25,16,8919,846,0,235
1,10000,500,25,17,8919,846,0,235
1,10000,500,25,18,8919,846,0,235
1,10000,500,25,19,8919,846,0,235
1,10000,500,25,20,8919,846,0,235
1,10000,500,25,21,8919,846,0,235
1,10000,500,25,22,8919,846,0,235
1,10000,500,25,23,8919,846,0,235
1,10000,500,25,24,8919,846,0,235
1,10000,500,25,25,8919,846,0,235
1,10000,500,25,25,8919,846,0,235
2,10000,500,25,0,10000,0,0,0
2,10000,500,25,1,9892,73,35,0
2,10000,500,25,2,8648,1062,26,264
2,10000,500,25,3,8368,1295,6,331
2,10000,500,25,4,8358,1304,0,338
2,10000,500,25,5,8358,1304,0,338
2,10000,500,25,6,8358,1304,0,338
2,10000,500,25,7,8358,1304,0,338
2,10000,500,25,8,8358,1304,0,338
2,10000,500,25,9,8358,1304,0,338
2,10000,500,25,10,8358,1304,0,338
2,10000,500,25,11,8358,1304,0,338
2,10000,500,25,12,8358,1304,0,338
2,10000,500,25,13,8358,1304,0,338
2,10000,500,25,14,8358,1304,0,338
2,10000,500,25,15,8358,1304,0,338
2,10000,500,25,16,8358,1304,0,338
2,10000,500,25,17,8358,1304,0,338
2,10000,500,25,18,8358,1304,0,338
2,10000,500,25,19,8358,1304,0,338
2,10000,500,25,20,8358,1304,0,338
